player,player_full_name,team_name,team_name2,cluster,stat,value
K. Stattmann,Kody Stattmann,Virginia,UVA,3,mpg,21.4583333333333
K. Stone,Keith Stone,Miami,Miami,3,mpg,23.3333333333333
K. Williams,Kamari Williams,Boston College,Boston College,3,mpg,11.2
L. Black,Leaky Black,North Carolina,UNC,4,mpg,29.5806451612903
L. Kimble,Lamarr Kimble,Louisville,Louisville,3,mpg,21.8064516129032
L. Nolley II,Landers Nolley II,Virginia Tech,Virginia Tech,4,mpg,30.4666666666667
M. Bates,Manny Bates,NC State,NC State,2,mpg,18.4137931034483
M. Devoe,Michael Devoe,Georgia Tech,Georgia Tech,1,mpg,34.962962962963
M. Diakite,Mamadi Diakite,Virginia,UVA,4,mpg,32.8333333333333
M. Dolezaj,Marek Dolezaj,Syracuse,Syracuse,4,mpg,33.28125
M. Hurt,Matthew Hurt,Duke,Duke,3,mpg,20.5483870967742
M. Johnson,Markell Johnson,NC State,NC State,1,mpg,34.0967741935484
M. Osborne,Malik Osborne,Florida State,Florida State,3,mpg,19.2903225806452
M. Williams,Malik Williams,Louisville,Louisville,4,mpg,18.6538461538462
M. Wright,Moses Wright,Georgia Tech,Georgia Tech,4,mpg,30.3
M.J. Walker,M.J. Walker,Florida State,Florida State,3,mpg,25.2307692307692
N. Alleyne,Nahiem Alleyne,Virginia Tech,Virginia Tech,3,mpg,26.1333333333333
N. Laszewski,Nate Laszewski,Notre Dame,Notre Dame,3,mpg,20.96875
N. Popovic,Nik Popovic,Boston College,Boston College,4,mpg,25.6
O. Oguama,Ody Oguama,Wake Forest,Wake Forest,2,mpg,14.9354838709677
O. Sarr,Olivier Sarr,Wake Forest,Wake Forest,4,mpg,26.7
P. Andree,Pat Andree,NC State,NC State,3,mpg,13.962962962963
P. Hubb,Prentiss Hubb,Notre Dame,Notre Dame,1,mpg,35.25
P. Williams,Patrick Williams,Florida State,Florida State,4,mpg,22.5172413793103
P.J. Horne,P.J. Horne,Virginia Tech,Virginia Tech,3,mpg,28.7333333333333
Q. Guerrier,Quincy Guerrier,Syracuse,Syracuse,2,mpg,20.34375
R. Carmody,Robby Carmody,Notre Dame,Notre Dame,2,mpg,13.7142857142857
R. Evans,Rayquan Evans,Florida State,Florida State,3,mpg,11.3793103448276
R. Gray,RaiQuan Gray,Florida State,Florida State,4,mpg,19.4827586206897
R. McMahon,Ryan McMahon,Louisville,Louisville,3,mpg,24.6774193548387
R. Miller Jr.,Rodney Miller Jr.,Miami,Miami,2,mpg,24.0666666666667
R. Murphy,Ryan Murphy,Pittsburgh,Pitt,3,mpg,24.3103448275862
R. Pflueger,Rex Pflueger,Notre Dame,Notre Dame,3,mpg,27.258064516129
S. Enoch,Steven Enoch,Louisville,Louisville,4,mpg,20.3870967741935
S. Mitchell,Steffon Mitchell,Boston College,Boston College,4,mpg,32.4838709677419
S. Waardenburg,Sam Waardenburg,Miami,Miami,4,mpg,28.1333333333333
S. Williamson,Samuell Williamson,Louisville,Louisville,3,mpg,15.3225806451613
T. Brown,Terrell Brown,Pittsburgh,Pitt,2,mpg,18.46875
T. Forrest,Trent Forrest,Florida State,Florida State,1,mpg,30.9354838709677
T. Gibbs,TJ Gibbs,Notre Dame,Notre Dame,1,mpg,34.96875
T. Johnson,Torry Johnson,Wake Forest,Wake Forest,3,mpg,24.7142857142857
T. Jones,Tre Jones,Duke,Duke,1,mpg,35.448275862069
T. Mack,Tevin Mack,Clemson,Clemson,4,mpg,28.3548387096774
T. McGowens,Trey McGowens,Pittsburgh,Pitt,1,mpg,34.0625
T. Radford,Tyrece Radford,Virginia Tech,Virginia Tech,2,mpg,26.6
T. Woldetensae,Tomas Woldetensae,Virginia,UVA,3,mpg,27.0689655172414
V. Carey Jr.,Vernon Carey Jr.,Duke,Duke,4,mpg,24.9032258064516
W. Bede,Wabissa Bede,Virginia Tech,Virginia Tech,1,mpg,30.2666666666667
W. Moore Jr.,Wendell Moore Jr.,Duke,Duke,4,mpg,24
X. Johnson,Xavier Johnson,Pittsburgh,Pitt,1,mpg,33.3125
A. Bacot,Armando Bacot,North Carolina,UNC,4,fgp,0.461538461538462
A. Dawes,Al-Amir Dawes,Clemson,Clemson,1,fgp,0.381147540983607
A. Harris,Anthony Harris,North Carolina,UNC,3,fgp,0.545454545454545
A. Hemenway,Alex Hemenway,Clemson,Clemson,3,fgp,0.5
A. O'Connell,Alex O'Connell,Duke,Duke,3,fgp,0.405405405405405
